Epoch: 1 | Step: 24 | loss: -589347.00000 | acc: 0.11111 | recall: 0.07692 | f1 score: 0.09091
Epoch: 1 | Step: 25 | loss: -948870.81250 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 1 | Step: 26 | loss: -771136.31250 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 1 | Step: 27 | loss: -778153.75000 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 1 | Step: 28 | loss: -852865.50000 | acc: 0.20000 | recall: 0.33333 | f1 score: 0.25000
Epoch: 1 | Step: 29 | loss: -975039.18750 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 1 | Step: 30 | loss: -939578.68750 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 1 | Step: 31 | loss: -829897.75000 | acc: 0.25000 | recall: 0.20000 | f1 score: 0.22222
Epoch: 1 | mean loss: -103976.28906 | total acc: 0.04861 | total recall: 0.04000 | total f1 scroe: 0.04389
Epoch: 2 | Step: 1 | loss: -1275000.25000 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 2 | Step: 2 | loss: -1397486.87500 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 2 | Step: 3 | loss: -1420014.00000 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 2 | Step: 4 | loss: -1375888.12500 | acc: 1.00000 | recall: 0.50000 | f1 score: 0.66667
Epoch: 2 | Step: 5 | loss: -1142536.62500 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 2 | Step: 6 | loss: -1094531.87500 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 2 | Step: 7 | loss: -1206252.75000 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 2 | Step: 8 | loss: -1180540.87500 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 2 | Step: 9 | loss: -1389987.75000 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 2 | Step: 10 | loss: -1163729.12500 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 2 | Step: 11 | loss: -1313051.50000 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 2 | Step: 12 | loss: -1204308.00000 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 2 | Step: 13 | loss: -1377620.12500 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 2 | Step: 14 | loss: -1393562.00000 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 2 | Step: 15 | loss: -1401063.62500 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 2 | Step: 16 | loss: -960710.81250 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 2 | Step: 17 | loss: -1258545.37500 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 2 | Step: 18 | loss: -1289789.75000 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 2 | Step: 19 | loss: -977156.37500 | acc: 1.00000 | recall: 0.07692 | f1 score: 0.14286
Epoch: 2 | Step: 20 | loss: -1274634.37500 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 2 | Step: 21 | loss: -1366511.75000 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
