Epoch: 0 | Step: 1 | loss: -418047.96875 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 2 | loss: -487188.12500 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 3 | loss: -502687.46875 | acc: 0.12500 | recall: 0.16667 | f1 score: 0.14286
Epoch: 0 | Step: 4 | loss: -451127.46875 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 5 | loss: -461978.75000 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 6 | loss: -424387.06250 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 7 | loss: -493325.53125 | acc: 0.18182 | recall: 0.33333 | f1 score: 0.23529
Epoch: 0 | Step: 8 | loss: -481965.03125 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 9 | loss: -523688.62500 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 10 | loss: -464702.78125 | acc: 0.09091 | recall: 0.16667 | f1 score: 0.11765
Epoch: 0 | Step: 11 | loss: -443919.46875 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 12 | loss: -504784.93750 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 13 | loss: -465336.43750 | acc: 0.09091 | recall: 0.16667 | f1 score: 0.11765
Epoch: 0 | Step: 14 | loss: -504132.96875 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 15 | loss: -456708.75000 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 16 | loss: -252472.00000 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 17 | loss: -457901.53125 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 18 | loss: -409330.96875 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 19 | loss: -466593.40625 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 20 | loss: -481019.18750 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 21 | loss: -404985.28125 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 22 | loss: -491730.93750 | acc: 0.08333 | recall: 0.25000 | f1 score: 0.12500
Epoch: 0 | Step: 23 | loss: -433931.43750 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 24 | loss: -374874.28125 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 25 | loss: -508426.93750 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 26 | loss: -473999.15625 | acc: 0.06250 | recall: 0.20000 | f1 score: 0.09524
Epoch: 0 | Step: 27 | loss: -423738.93750 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 28 | loss: -370296.62500 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 29 | loss: -513230.43750 | acc: 0.11111 | recall: 0.16667 | f1 score: 0.13333
Epoch: 0 | Step: 30 | loss: -272231.18750 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 31 | loss: -463539.93750 | acc: 0.06667 | recall: 0.11111 | f1 score: 0.08333
Epoch: 0 | mean loss: -54654.65625 | total acc: 0.02647 | total recall: 0.05488 | total f1 scroe: 0.03571
Epoch: 1 | Step: 1 | loss: -874523.18750 | acc: 0.14286 | recall: 0.16667 | f1 score: 0.15385
Epoch: 1 | Step: 2 | loss: -957406.37500 | acc: 0.09091 | recall: 0.25000 | f1 score: 0.13333
Epoch: 1 | Step: 3 | loss: -931055.18750 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 1 | Step: 4 | loss: -805661.56250 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 1 | Step: 5 | loss: -871532.00000 | acc: 0.14286 | recall: 0.16667 | f1 score: 0.15385
Epoch: 1 | Step: 6 | loss: -910010.31250 | acc: 0.16667 | recall: 0.25000 | f1 score: 0.20000
