Epoch: 0 | Step: 56 | loss: -179117.43750 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 57 | loss: -172684.34375 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 58 | loss: -202354.93750 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 59 | loss: -208441.20312 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 60 | loss: -266361.00000 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 61 | loss: -130704.90625 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 62 | loss: -220634.21875 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 63 | loss: -205347.54688 | acc: 0.06250 | recall: 0.16667 | f1 score: 0.09091
Epoch: 0 | Step: 64 | loss: -287182.06250 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 65 | loss: -251345.48438 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 66 | loss: -253589.62500 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 67 | loss: -253729.78125 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 68 | loss: -185041.67188 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 69 | loss: -190418.95312 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 70 | loss: -252936.96875 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 71 | loss: -252985.29688 | acc: 0.20000 | recall: 0.14286 | f1 score: 0.16667
Epoch: 0 | Step: 72 | loss: -257390.54688 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 73 | loss: -209115.21875 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 74 | loss: -255263.37500 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 75 | loss: -277768.87500 | acc: 0.06250 | recall: 0.16667 | f1 score: 0.09091
Epoch: 0 | Step: 76 | loss: -222624.17188 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 77 | loss: -266036.53125 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 78 | loss: -167936.09375 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 79 | loss: -251941.71875 | acc: 0.06250 | recall: 0.20000 | f1 score: 0.09524
Epoch: 0 | Step: 80 | loss: -299772.06250 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 81 | loss: -229249.39062 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 82 | loss: -332587.31250 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 83 | loss: -339993.06250 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 84 | loss: -128380.82812 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 85 | loss: -360166.90625 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 86 | loss: -306707.46875 | acc: 0.07143 | recall: 0.25000 | f1 score: 0.11111
Epoch: 0 | Step: 87 | loss: -330050.84375 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 88 | loss: -397275.40625 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 89 | loss: -254257.59375 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 90 | loss: -255614.75000 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 91 | loss: -229578.68750 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 92 | loss: -315645.25000 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 93 | loss: -357074.15625 | acc: 0.13333 | recall: 0.40000 | f1 score: 0.20000
Epoch: 0 | Step: 94 | loss: -253664.96875 | acc: 0.50000 | recall: 0.20000 | f1 score: 0.28571
Epoch: 0 | Step: 95 | loss: -331456.68750 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 96 | loss: -386071.68750 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 97 | loss: -342464.59375 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 98 | loss: -295338.87500 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 99 | loss: -341991.62500 | acc: 0.23077 | recall: 0.33333 | f1 score: 0.27273
