Epoch: 0 | Step: 1 | loss: 838.85498 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 2 | loss: 66998.08594 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 3 | loss: 49575.57422 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 4 | loss: 49525.76953 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 5 | loss: 53394.32422 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 6 | loss: 49418.07812 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 7 | loss: 88342.00000 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 8 | loss: 34519.63672 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 9 | loss: 34985.16406 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 10 | loss: 265052.25000 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 11 | loss: 277021.25000 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 12 | loss: 151499.65625 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 13 | loss: 215963.73438 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 14 | loss: 98895.34375 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 15 | loss: 125536.24219 | acc: 0.20000 | recall: 0.14286 | f1 score: 0.16667
Epoch: 0 | Step: 16 | loss: 21702.93945 | acc: 0.12500 | recall: 0.20000 | f1 score: 0.15385
Epoch: 0 | Step: 17 | loss: 42388.37891 | acc: 0.10000 | recall: 0.12500 | f1 score: 0.11111
Epoch: 0 | Step: 18 | loss: 16855.84375 | acc: 0.28571 | recall: 0.22222 | f1 score: 0.25000
Epoch: 0 | Step: 19 | loss: 36309.27734 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 20 | loss: 136934.28125 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 21 | loss: -2015.56445 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 22 | loss: -2412.63281 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 23 | loss: 161170.34375 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 24 | loss: 148195.12500 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 25 | loss: 101738.01562 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 26 | loss: 26542.99805 | acc: 0.09091 | recall: 0.50000 | f1 score: 0.15385
Epoch: 0 | Step: 27 | loss: 63746.61719 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 28 | loss: 261415.60938 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 29 | loss: -10151.10938 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 30 | loss: -44645.36719 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 31 | loss: 6112.68750 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 32 | loss: -106135.85938 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 33 | loss: -90565.84375 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 34 | loss: -80803.64062 | acc: 0.33333 | recall: 0.16667 | f1 score: 0.22222
Epoch: 0 | Step: 35 | loss: 42845.46094 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 36 | loss: -30194.17773 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 37 | loss: -42558.46875 | acc: 0.09091 | recall: 0.25000 | f1 score: 0.13333
Epoch: 0 | Step: 38 | loss: -53460.59375 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 39 | loss: -43917.80859 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 40 | loss: -18114.56250 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 41 | loss: -2707.21875 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 42 | loss: -68426.72656 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 43 | loss: -109545.71875 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 44 | loss: -117351.46094 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 45 | loss: -118701.75000 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 46 | loss: -107586.43750 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
Epoch: 0 | Step: 47 | loss: -150798.92188 | acc: 0.00000 | recall: 0.00000 | f1 score: 0.00000
